repository;file;methodname;anonymous test;long test;conditional test logic;rotten green test;assertion roulette;eager test;lazy test
alibaba/arthas;ArthasEnvironmentTest;test_properties;2;11;0;0;1/3;0;1
alibaba/arthas;ServerPropertiesTest;test;2;17;0;0;1/6;1;0
alibaba/arthas;ServerPropertiesTest;testSystemProperties;2;13;0;0;1/3;1;0
alibaba/arthas;PropertiesInjectUtilTest;test;2;27;0;0;1/11;1;0
alibaba/arthas;EnhancerTest;test;2;24;0;0;1/4;1;0
alibaba/arthas;SpyImplTest;testSplitMethodInfo;0;3;0;0;1/3;0;0
alibaba/arthas;SpyImplTest;testSplitInvokeInfo;0;1;0;0;0/1;0;0
alibaba/arthas;PackageInternalsFinderTest;testFilePathContainWhitespace;1;3;0;0;0/1;0;1
alibaba/arthas;PackageInternalsFinderTest;testFilePathContainChineseCharacter;1;3;0;0;0/1;0;1
alibaba/arthas;DynamicCompilerTest;test;2;11;0;0;1/2;0;0
alibaba/arthas;DownloadUtilsTest;testReadReleaseVersion;1;4;0;0;1/2;0;0
alibaba/arthas;DownloadUtilsTest;testReadAllVersions;1;2;0;0;0/1;0;0
alibaba/arthas;DownloadUtilsTest;testAliyunDownload;1;7;1;2;0/1;0;1
alibaba/arthas;DownloadUtilsTest;testCenterDownload;1;6;0;0;0/1;0;1
